0,0.478661,815
0.01,0.274103,777
0.02,0.173041,745
0.03,0.172699,723
0.04,0.15075,689
0.05,0.0320606,663
0.06,-0.119515,649
0.07,-0.194304,615
0.08,-0.198703,581
0.09,-0.275469,547
0.1,-0.529355,531
0.11,-0.853195,487
0.12,-0.990976,475
0.13,-0.809985,465
0.14,-0.466819,461
0.15,-0.230592,453
0.16,-0.147098,441
0.17,0.0245073,413
0.18,0.479642,401
0.19,1.0484,361
0.2,1.33455,347
0.21,1.18249,319
0.22,0.881931,289
0.23,0.830232,249
0.24,1.07687,237
0.25,1.32038,227
0.26,1.30749,221
0.27,1.06653,217
0.28,0.717917,189
0.29,0.264636,153
0.3,-0.230439,119
0.31,-0.352308,119
0.32,0.484084,107
0.33,2.40964,77
0.34,4.79228,57
0.35,6.72179,41
0.36,7.75824,19
0.37,8.05449,1
0.38,7.79779,13
0.39,6.81987,37
0.4,4.94444,57
0.41,2.56551,75
0.42,0.582229,107
0.43,-0.331567,117
0.44,-0.25703,121
0.45,0.23037,155
0.46,0.691269,193
0.47,1.04579,215
0.48,1.29689,223
0.49,1.3287,227
0.5,1.09735,239
0.51,0.839573,247
0.52,0.867596,287
0.53,1.16193,317
0.54,1.33703,337
0.55,1.08047,367
0.56,0.518316,395
0.57,0.0457686,413
0.58,-0.141781,441
0.59,-0.221754,447
0.6,-0.445308,455
0.61,-0.788896,463
0.62,-0.988632,477
0.63,-0.871051,489
0.64,-0.5514,527
0.65,-0.286807,555
0.66,-0.199691,575
0.67,-0.195727,613
0.68,-0.127765,643
0.69,0.0215676,661
0.7,0.145848,683
0.71,0.17338,709
0.72,0.170901,735
0.73,0.263137,783
0.74,0.464273,813
0.75,0.631187,837
0.76,0.610619,861
0.77,0.413583,861
0.78,0.202492,891
0.79,0.0999297,905
0.8,0.0549273,923
0.81,-0.0656159,919
0.82,-0.282077,929
0.83,-0.459593,931
0.84,-0.47127,947
0.85,-0.351605,941
0.86,-0.247374,957
0.87,-0.244255,963
0.88,-0.293273,965
0.89,-0.303555,983
0.9,-0.251245,1019
0.91,-0.172117,1053
0.92,-0.0914713,1071
0.93,-0.0123343,1097
0.94,0.0404772,1111
0.95,0.019545,1163
0.96,-0.0820379,1193
0.97,-0.197928,1225
0.98,-0.244587,1261
0.99,-0.196261,1301
1,-0.087545,1317
